Size,First_mean,First_std,Last_mean,Last_std,Middle_mean,Middle_std,Random_mean,Random_std
2860,1839.2,416.29,1573.48,300.78,31.6733,3.23472,85.1367,26.4451
2870,1553.53,171.157,1834.4,385.633,36.7667,14.5237,90.4633,24.5222
2880,1756.56,405.075,1799.26,399.556,34.0967,6.98172,93.9133,26.5792
2890,1943.64,453.614,1852.14,476.865,38.11,10.1478,94.25,26.2919
2900,1807.45,306.483,1869.1,414.667,48.1,34.3408,88.7133,12.8728
2910,1915.71,459.926,1814.18,342.157,38.2433,12.8644,92.4667,23.4968
2920,1906.64,429.473,1899.29,493.112,40.5767,31.4822,99.2233,55.2659
2930,1872.1,370.28,1828.75,372.404,36.3133,14.779,89.3967,20.6772
2940,1833.16,343.926,1755.52,303.084,39.2233,11.6726,86.4933,10.649
2950,1796.47,270.581,1804.49,370.567,39.9967,16.995,92.73,25.2456
2960,1803.98,392.529,1774.98,249.046,37.81,18.8367,88.83,16.7229
2970,1760.17,291.784,1668.49,223.183,35.9567,11.8298,86.3667,9.33257
2980,1739.3,312.489,1782.67,324.802,36.9833,8.91121,88.8733,17.7101
2990,1900.27,464.689,1875.01,401.499,38.4333,12.4436,99.0333,45.7562
3000,1809.04,351.828,1799,343.44,40.47,37.1318,90.6567,24.6953
3010,2112.94,447.761,2139.74,588.507,57.26,97.2263,98.05,19.6591
3020,2002.91,526.016,2053.84,458.053,40.9767,12.3822,96.8067,21.166
3030,2193.15,639.703,2207.89,638.664,41.1233,13.6484,93.8133,16.8652
3040,2077.26,473.588,1932.4,504.364,45.03,29.9277,91.9367,16.416
3050,1874.4,342.828,1768.81,237.976,35.9133,8.37919,91.8133,15.8955
3060,2060.65,489.665,2029.42,560.65,36.05,7.65739,94.34,28.5496
3070,2088.8,565.459,2104.45,520.436,35.4767,5.81909,91.88,13.1021
3080,2088.94,433.775,2032.15,520.226,37.6633,9.67686,98.5,42.6715
3090,1970.05,474.687,2002.39,387.537,36.7067,11.1918,92.43,26.17
3100,2110.21,486.898,2117.59,531.102,37.7067,8.48447,90.5867,8.71901
3110,2208.46,541.509,2071.98,394.786,36.74,7.24933,96.4667,27.5711
3120,2073.73,381.19,2140.73,479.304,37.8467,10.4453,93.74,11.8804
3130,2014.46,300.922,2027.55,407.183,43.7833,32.0102,97.7067,25.4429
3140,2179.04,575.999,2203.12,681.739,44.2433,19.5068,101.5,37.9699
3150,2103.38,430.623,2081.13,465.444,41.13,17.3941,98.69,20.8679
3160,2108.01,411.143,1975.45,386.834,40.5933,18.8196,93.4333,20.0569
3170,2094.73,387.967,2050.59,428.855,40.0367,9.1067,97.22,23.1979
3180,2152.86,471.173,2075,394.66,42.2,14.8397,97.59,16.3487
3190,2110.39,428.244,2158.64,517.582,40.2467,16.5723,94.3233,11.8286
3200,2086.44,410.091,2019.53,291.216,36.69,5.79443,93.6,8.6263
3210,2108.88,412.486,2120.93,367.669,40.1433,16.4673,100.707,22.6288
3220,2152.26,334.633,2139.19,405.655,41.09,11.697,95.9667,15.9402
3230,2162.84,511.378,2183.61,488.078,36.67,5.19968,97.12,24.7826
3240,2301.93,479.041,2146.64,471.557,39.9567,9.3186,94.8267,10.3955
3250,2114.03,337.888,2111.6,303.815,46.5867,45.6458,103.633,39.7265
3260,2205.58,438.049,2200.62,484.876,39.1367,10.0497,97.23,14.893
3270,2132.5,362.578,2063.47,308.88,38.9567,12.3342,94.4,16.5632
3280,2120.47,283.673,2015,246.618,38.64,9.90446,92.5833,8.44949
3290,2143.19,320.898,2072.54,287.685,36.4667,6.98335,97.0467,14.6429
3300,2227.64,426.474,2144.84,373.199,36.8233,5.95452,94.6833,8.1947
3310,2189.42,288.945,2108.12,288.813,50.7567,60.9571,99.1,28.3403
3320,2282.65,360.018,2242.28,394.858,39.3867,8.65467,99.9767,16.4024
3330,2393.75,520.316,2284.7,504.642,41.1433,11.6333,97.8333,10.4298
3340,2312,362.046,2178.01,261.213,40.3433,15.7812,103.16,18.6743
3350,2254.32,365.049,2282.14,544.454,38.7,9.91064,99.69,16.6596
3360,2261.4,431.991,2248.69,268.855,38.5067,8.93424,99,13.1114
3370,2202.8,238.759,2240.31,334.408,44.4233,22.1962,100.31,11.4079
3380,2317.69,374.548,2321.42,438.212,40.1967,8.99201,97.0867,9.52824
3390,2316.53,344.931,2300.15,351.883,40.1133,9.05994,98.3633,13.9758
3400,2454.1,442.159,2378.22,524.008,40.25,10.2398,105.02,17.1211
3410,2405.15,501.335,2492.66,546.869,39.2667,8.18718,101.187,17.1654
3420,2304.49,317.242,2281.99,313.26,41.3033,12.676,107.27,26.2265
3430,2340.63,478.426,2264.76,265.007,39.8033,9.59836,101.787,13.6117
3440,2297.6,302.381,2245.74,318.796,42.7867,13.1376,99.3667,12.1994
3450,2310.76,305.205,2228.22,235.527,39.1733,8.57808,98.9633,10.6076
3460,2492.62,566.52,2514.87,511.689,41.0133,10.393,101.88,14.6731
3470,2380.14,479.916,2281.1,363.415,41.29,10.7604,102.557,18.9702
